trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,mae,mfe,long_pnl_pct,short_pnl_pct,entry_vwap,entry_rsi,entry_atr,entry_active_entry_price,entry_stop_level,entry_take_profit_level,entry_position,exit_vwap,exit_rsi,exit_atr,exit_active_entry_price,exit_stop_level,exit_take_profit_level,exit_position
1,Short,2023-01-06 14:00:00+00:00,2023-01-06 15:00:00+00:00,1247.72,1262.48,-0.01182957714871935,-14.760000000000108,1,short_exit_signal,-0.011691274317216949,0.0,0.0,-0.01182957714871935,1247.181946134716,48.26249700752502,6.119981246870726,1247.72,1256.8999718703062,,short,1249.248466934771,66.51199711592031,7.1064111578085365,,,,flat
2,Long,2023-01-07 18:00:00+00:00,2023-01-08 00:00:00+00:00,1263.45,1260.71,-0.0021686651628477494,-2.739999999999989,6,long_exit_signal,-0.0021686651628477494,0.001076417745063063,-0.0021686651628477494,0.0,1264.5354133798385,52.6962859097612,3.786776980200137,1263.45,1257.7698345297,,long,1260.38,45.26013505471147,4.0401328168193675,1260.71,1266.7701992252291,,short
3,Short,2023-01-08 00:00:00+00:00,2023-01-08 15:00:00+00:00,1260.71,1274.01,-0.01054961093352147,-13.299999999999851,15,short_exit_signal,-0.010439478497028976,0.0,0.0,-0.01054961093352147,1260.38,45.26013505471147,4.0401328168193675,1260.71,1266.7701992252291,,short,1264.7558812993027,73.58218031049712,3.5792561603915463,,,,flat
4,Long,2023-01-08 17:00:00+00:00,2023-01-23 22:00:00+00:00,1264.03,1628.19,0.28809442813857267,364.16,365,long_exit_signal,0.0,0.3161871158121248,0.28809442813857267,0.0,1265.5984493052379,50.91033407472167,4.719664750541692,1264.03,1256.9505028741874,,long,1624.7000940258147,49.16840191843263,16.06120367291105,1628.19,1652.2818055093667,,short
5,Short,2023-01-23 22:00:00+00:00,2023-01-26 18:00:00+00:00,1628.19,1600.71,0.016877637130801704,27.480000000000025,68,short_exit_signal,-0.006934787381980501,0.060654819292805584,0.0,0.016877637130801704,1624.7000940258147,49.16840191843263,16.06120367291105,1628.19,1652.2818055093667,,short,1605.847531050953,51.522961564628105,18.05801016788364,1600.71,1573.6229847481745,,long
6,Long,2023-01-26 18:00:00+00:00,2023-01-27 01:00:00+00:00,1600.71,1562.54,-0.023845668484610005,-38.17000000000008,7,long_exit_signal,-0.023845668484610005,0.005035265600889627,-0.023845668484610005,0.0,1605.847531050953,51.522961564628105,18.05801016788364,1600.71,1573.6229847481745,,long,1575.9578877300419,34.25407882282434,17.923709668693128,,,,flat
7,Short,2023-02-01 00:00:00+00:00,2023-02-01 19:00:00+00:00,1582.98,1617.6,-0.021870143653109908,-34.61999999999992,19,short_exit_signal,-0.02140207715133524,0.00797860485848001,0.0,-0.021870143653109908,1582.9433333333334,49.58416164162169,14.108792682553911,1582.98,1604.143189023831,,short,1586.1835903006506,69.74603055451577,16.36595539329152,,,,flat
8,Short,2023-02-05 09:00:00+00:00,2023-02-08 00:00:00+00:00,1666.0,1687.21,-0.012731092436974789,-21.209999999999997,63,short_exit_signal,-0.012571049246981714,0.032282049693289405,0.0,-0.012731092436974789,1665.3337737996458,48.5114997250268,9.609688326870504,1666.0,1680.4145324903056,,short,1682.053333333333,66.66398010394941,16.5228188825703,,,,flat
9,Short,2023-02-17 12:00:00+00:00,2023-02-17 17:00:00+00:00,1665.02,1687.94,-0.01376560041320829,-22.920000000000066,5,short_exit_signal,-0.013578681706695739,0.003695241999168042,0.0,-0.01376560041320829,1658.6288698133317,49.99844465439159,14.737538514955293,1665.02,1687.126307772433,,short,1666.8075485316801,61.7909679523619,18.557887594888484,,,,flat
10,Long,2023-02-18 11:00:00+00:00,2023-02-19 20:00:00+00:00,1691.86,1687.45,-0.002606598654734893,-4.409999999999775,33,long_exit_signal,-0.005538283309493575,0.011827219746314732,-0.002606598654734893,0.0,1695.4196736867993,52.762715853239655,12.190311440410383,1691.86,1673.5745328393843,,long,1697.1297932339035,45.12271447923218,13.144797971151895,,,,flat
11,Long,2023-02-23 13:00:00+00:00,2023-02-23 17:00:00+00:00,1654.77,1645.94,-0.005336089003305511,-8.82999999999986,4,long_exit_signal,-0.005336089003305511,0.0029490503211926367,-0.005336089003305511,0.0,1655.517224858753,52.14027227194332,15.590269866749841,1654.77,1631.3845951998753,,long,1654.740354807548,47.306897127611286,16.7501043227885,,,,flat
12,Long,2023-02-23 19:00:00+00:00,2023-02-24 15:00:00+00:00,1652.3,1602.18,-0.030333474550626294,-50.11999999999983,20,long_exit_signal,-0.030333474550626294,0.0006294256490950723,-0.030333474550626294,0.0,1654.1504430582988,51.09016040561029,16.38197770689416,1652.3,1627.7270334396587,,long,1635.6227411356665,24.091034792596844,13.820912834468391,,,,flat
13,Long,2023-02-27 23:00:00+00:00,2023-02-28 21:00:00+00:00,1632.6,1604.21,-0.01738944015680499,-28.389999999999826,22,long_exit_signal,-0.01738944015680499,0.006259953448487066,-0.01738944015680499,0.0,1637.757516766847,51.48723989006139,11.86712382268722,1632.6,1614.799314265969,,long,1628.3815374257447,33.94493290718529,12.53792866901139,,,,flat
14,Long,2023-03-02 04:00:00+00:00,2023-03-02 12:00:00+00:00,1650.8,1634.68,-0.009764962442452063,-16.119999999999866,8,long_exit_signal,-0.009764962442452063,0.0,-0.009764962442452063,0.0,1655.2075107122396,51.94449331760513,12.750622396624351,1650.8,1631.6740664050635,,long,1647.9999268983017,41.71008672584824,10.918994493578326,,,,flat
15,Long,2023-03-05 04:00:00+00:00,2023-03-05 21:00:00+00:00,1571.06,1571.32,0.00016549336117011038,0.2599999999999136,17,long_exit_signal,-0.0037617914019832943,0.00047738469568314734,0.00016549336117011038,0.0,1572.0616018512414,52.76766245275419,9.566628711492566,1571.06,1556.710056932761,,long,1570.2260716832768,54.07122080982339,7.248713136992267,,,,flat
16,Short,2023-03-06 11:00:00+00:00,2023-03-06 14:00:00+00:00,1562.75,1570.6,-0.005023196288593823,-7.849999999999997,3,short_exit_signal,-0.004998089901948277,0.0,0.0,-0.005023196288593823,1562.2433913612642,46.86602207194001,7.262471026035863,1562.75,1573.6437065390537,,short,1563.56259115786,57.60927331145578,7.229376400947819,,,,flat
17,Long,2023-03-08 03:00:00+00:00,2023-03-08 06:00:00+00:00,1561.61,1553.44,-0.00523178002190039,-8.169999999999867,3,long_exit_signal,-0.007088837802011971,0.00024333860566994048,-0.00523178002190039,0.0,1563.838022108251,50.09316346212073,9.653786960751912,1561.61,1547.129319558872,,long,1559.0413542315284,43.13258146295989,9.513214268502894,,,,flat
18,Short,2023-03-16 17:00:00+00:00,2023-03-16 19:00:00+00:00,1655.71,1679.07,-0.01410875092860464,-23.35999999999999,2,short_exit_signal,-0.013912463447027124,0.0,0.0,-0.01410875092860464,1652.5053061648737,48.6154620485801,17.025139400314657,1655.71,1681.247709100472,,short,1655.0255899158824,61.67045811694739,17.55744162578153,,,,flat
19,Short,2023-03-19 04:00:00+00:00,2023-03-19 15:00:00+00:00,1778.73,1792.79,-0.007904516143540485,-14.059999999999768,11,short_exit_signal,-0.007842524779812399,0.005307063650852983,0.0,-0.007904516143540485,1776.525250419543,48.691247152924575,19.48313861648241,1778.73,1807.9547079247236,,short,1781.7375601684016,57.18853423676347,17.52285249045695,,,,flat
20,Short,2023-03-20 09:00:00+00:00,2023-03-21 13:00:00+00:00,1779.32,1819.21,-0.02241867679787779,-39.88999999999991,28,short_exit_signal,-0.021927100224822915,0.029038060042449576,0.0,-0.02241867679787779,1770.6509245327943,49.779202380095676,22.363189304646966,1779.32,1812.8647839569703,,short,1767.9265036328393,70.52535754450983,19.959450284307216,,,,flat
21,Long,2023-03-22 10:00:00+00:00,2023-03-22 18:00:00+00:00,1789.42,1771.45,-0.010042360094332237,-17.96999999999999,8,long_exit_signal,-0.010042360094332237,0.008852030266790267,-0.010042360094332237,0.0,1792.250932140438,51.45722600367415,14.760967606848663,1789.42,1767.278548589727,,long,1791.0610010862065,40.0748699393274,19.64383437187673,,,,flat
22,Long,2023-03-26 17:00:00+00:00,2023-03-27 14:00:00+00:00,1766.16,1718.64,-0.026905829596412523,-47.519999999999946,21,long_exit_signal,-0.026905829596412523,0.006681161389681556,-0.026905829596412523,0.0,1767.6811883070739,53.10135840589744,15.333873816678851,1766.16,1743.1591892749818,,long,1751.5193013474943,29.86333896164416,14.098278635797431,,,,flat
23,Short,2023-03-28 07:00:00+00:00,2023-03-28 11:00:00+00:00,1723.47,1744.91,-0.01244001926346261,-21.439999999999905,4,short_exit_signal,-0.012287166673352834,0.003838357951633231,0.0,-0.01244001926346261,1718.9393671751932,47.6340979584144,13.575812128014778,1723.47,1743.8337181920222,,short,1724.071252419687,58.73845485290962,14.915854076120125,,,,flat
24,Long,2023-03-29 23:00:00+00:00,2023-03-30 03:00:00+00:00,1791.89,1786.5,-0.003007997142681851,-5.390000000000182,4,long_exit_signal,-0.004347365072632892,0.013516454693089264,-0.003007997142681851,0.0,1801.1372960284664,50.94816050266206,13.642777111339864,1791.89,1771.4258343329902,,long,1796.8372419187103,48.004614904596636,18.898410482012135,,,,flat
