time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume,Basis,Upper,Lower,Up Trend,Down Trend,EMA,EMA,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Upper,Average,Lower,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,Plot,Plot,ATR,Plot,K,D,%R
2019-09-08,10000,10412.65,10000,10391.63,10268.093333333332,10268.093333333332,10268.093333333332,3096.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8220.27,NaN,NaN,10391.63,10391.63,10391.63,NaN,10412.65,10000,10391.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-09,10316.62,10475.54,10077.22,10307,10286.586666666668,10286.586666666668,10286.586666666668,14824.373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8130.56,NaN,NaN,10349.314999999999,10349.314999999999,10349.314999999999,NaN,10475.54,10077.22,10307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-10,10307,10382.97,9940.87,10102.02,10141.953333333333,10141.953333333333,10141.953333333333,9068.955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8122.14,NaN,NaN,10225.6675,10225.6675,10225.6675,NaN,10382.97,9940.87,10102.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-11,10094.27,10293.11,9884.31,10159.55,10112.323333333332,10112.323455403644,10112.32321126302,10897.922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7852.79,NaN,NaN,10192.60875,10192.60875,10192.60875,NaN,10293.11,9884.31,10159.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-12,10163.06,10450.13,10042.12,10415.13,10302.46,10302.46,10302.46,15609.634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8186.88,NaN,NaN,10303.869374999998,10303.869374999998,10303.869374999998,NaN,10450.13,10042.12,10415.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-13,10414.96,10440.55,10153.51,10341.34,10311.8,10311.8,10311.8,19252.721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8167.62,NaN,NaN,10322.6046875,10322.6046875,10322.6046875,NaN,10440.55,10153.51,10341.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-14,10343.01,10419.97,10222.77,10332.25,10324.996666666666,10324.996666666666,10324.996666666666,20656.624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8559.77,NaN,NaN,10327.42734375,10327.42734375,10327.42734375,NaN,10419.97,10222.77,10332.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-15,10333.47,10359.2,10024.81,10302.22,10228.743333333334,10228.743333333334,10228.743333333334,20536.255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8556.02,NaN,NaN,10314.823671875,10314.823671875,10314.823671875,NaN,10359.2,10024.81,10302.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-16,10302,10353.81,10080.7,10249.27,10227.926666666668,10227.926666666668,10227.926666666668,20185.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10179.925,NaN,8255.58,NaN,NaN,10282.0468359375,10282.0468359375,10282.0468359375,NaN,10353.81,10080.7,10249.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-17,10257.3,10270.63,10136.77,10186.52,10197.973333333333,10197.973333333333,10197.973333333333,22519.607,NaN,NaN,NaN,NaN,11192.344,NaN,NaN,10179.925,NaN,8300.22,NaN,NaN,10234.28341796875,10234.28341796875,10234.28341796875,NaN,10270.63,10136.77,10186.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.088088532200608,NaN,NaN,NaN
2019-09-18,10183.87,10256.65,10097.92,10155.16,10169.91,10169.91,10169.91,20832.895,NaN,NaN,NaN,NaN,11114.683599999998,NaN,NaN,10167.22,NaN,8274.66,NaN,NaN,10194.721708984376,10194.721708984376,10194.721708984376,NaN,10256.65,10097.92,10155.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.123704215571863,NaN,NaN,NaN
2019-09-19,10154.7,10331.62,9530.02,10245.3,10035.646666666666,10035.646666666666,10035.646666666666,26228.754,NaN,NaN,NaN,NaN,11014.958739999998,NaN,NaN,9990.075,NaN,8346.05,NaN,NaN,10220.010854492188,10220.010854492188,10220.010854492188,NaN,10331.62,9530.02,10245.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.68473707176142,NaN,NaN,NaN
2019-09-20,10247.7,10279.3,10070.5,10166.35,10172.050000000001,10172.050122070314,10172.049877929689,23265.91,NaN,NaN,NaN,NaN,11014.958739999998,NaN,NaN,9990.075,NaN,8160.01,NaN,NaN,10193.180427246094,10193.180427246094,10193.180427246094,NaN,10279.3,10070.5,10166.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.016420451926134,NaN,NaN,NaN
2019-09-21,10166.56,10175.3,9912.63,9983.33,10023.753333333334,10023.753455403647,10023.753211263022,23642.387,NaN,NaN,NaN,NaN,11014.958739999998,NaN,NaN,9985.285,NaN,7992.21,NaN,NaN,10088.255213623048,10088.255213623048,10088.255213623048,NaN,10175.3,9912.63,9983.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.94293087401634,NaN,337.6628571428568,14.213935633476426,NaN,NaN,-52.05706912598366
