time,open,high,low,close,EMA,LUCID Connector,Internal Higher High,Internal Lower High,Internal Lower Low,Internal Higher Low,Premium Bottom,Equilibrium Top,Equilibrium Bottom,Discount Top,Liquidity Grabs (Open),Liquidity Grabs (High,Liquidity Grabs (Low),Liquidity Grabs (Close),Custom Alert Condition Highlighter,Alert Scripting Condition Highlighter,@valuewhen,LUCID Connector,HyperWave,HWO Up,Oversold HWO Up,HWO Down,Overbought HWO Down,Reversal Up +,Reversal Up -,Reversal Down +,Reversal Down -,Money Flow,Bullish Overflow,Bearish Overflow,Upper Money Flow Threshold,Lower Money Flow Threshold,Upper Confluence Value,Lower Confluence Value,Upper Confluence Zone,Lower Confluence Zone,Confluence Meter Value,Custom Alert Condition Highlighter,Alert Scripting Condition Highlighter,@valuewhen,ATR,Histogram,MACD,Signal
1737072000,99990.9,105847.4,99950.1,104084.4,87477.81995927107,2201170739202,NaN,NaN,NaN,NaN,105393.49,80135.655,77164.145,51906.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,76.71717242097809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.24453636957673,50,50,60.09296815867252,48.979527337872476,2,0,105,-5,71.42857142857143,NaN,NaN,NaN,3858.413818310869,761.1358175506684,806.2347331856145,45.09891563494597
1737158400,104084.5,104984,102288,104551.6,87780.01075645212,524290,NaN,NaN,NaN,NaN,105393.49,80135.655,77164.145,51906.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144835138,83.25799486605757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110,54.22676455185089,50,50,60.06363714063841,49.00576352394237,2,0,105,-5,71.42857142857143,NaN,NaN,NaN,3775.3842598600927,974.7753028686217,1263.568044220723,288.7927413521014
1737244800,104551.6,106448.6,99639.4,101334,88019.90437138217,40962,NaN,NaN,NaN,NaN,105393.49,80135.655,77164.145,51906.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10616834,80.0164977763686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.25840379420094,50,50,60.02961097390622,49.027026725293666,2,0,105,-5,71.42857142857143,NaN,NaN,NaN,3992.0853841558014,849.60847786817,1350.803338687314,501.1948608191439
1737331200,101334,109800,99526.4,102264.3,88272.01756834886,8194,109800,NaN,NaN,NaN,106756.74,80889.03,77845.77,51978.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1075970050,73.49994415620625,NaN,NaN,78.92481226621082,NaN,NaN,NaN,NaN,NaN,52.61421373037335,50,50,59.99253398768856,49.044962660319065,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,4440.7649995732445,781.4187312941076,1477.9682749367785,696.5495436426709
1737417600,102263.9,107285.8,100111,106150.1,88588.44380607721,67586,NaN,NaN,NaN,NaN,106756.74,80889.03,77845.77,51978.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,73.60551520599947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.205592010960395,50,50,59.95359927780492,49.06076580707227,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,4636.053213889441,939.3478269016261,1870.7343272697035,931.3865003680773
1737504000,106150.1,106416.3,103308.3,103704.1,88855.97754402274,2,NaN,NaN,NaN,NaN,106756.74,80889.03,77845.77,51978.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2149711874,74.65553458215909,73.92033131478827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.920720236508764,50,50,59.91343488259844,49.075065579219455,2,0,105,-5,71.42857142857143,NaN,NaN,NaN,4526.906555754481,824.5032805126912,1962.0156010089413,1137.5123204962501
1737590400,103704.2,106863.1,101233,103914.8,89122.50537510199,32770,NaN,NaN,NaN,NaN,106756.74,80889.03,77845.77,51978.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1075970050,70.68752707989498,NaN,NaN,72.98285895601786,NaN,NaN,NaN,NaN,NaN,52.68715477780868,50,50,59.87730348207449,49.0931260252124,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,4605.706087486304,712.37501842556,2027.9810935282003,1315.6060751026403
1737676800,103914.8,107146.3,102750,104866.1,89401.15306757805,2,NaN,NaN,NaN,NaN,106756.74,80889.03,77845.77,51978.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,69.43175569184365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.18988391088664,50,50,59.84386638421855,49.11360981464077,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,4590.748509808711,653.4669345551035,2132.4397432965197,1478.9728087414162
1737763200,104866.2,105300,104106.1,104740.3,89672.64239381561,2,NaN,NaN,NaN,NaN,106756.74,80889.03,77845.77,51978.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,69.48510630672082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.547197420166015,50,50,59.81238303939829,49.135777752668396,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,4348.116473393803,560.7768974175406,2179.943930513342,1619.1670330958013
1737849600,104740.3,105526.6,102500,102604.5,89901.5248293233,2,NaN,NaN,NaN,NaN,106756.74,80889.03,77845.77,51978.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,64.11921972313134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.80982299526068,50,50,59.7823702391776,49.15914797888136,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,4253.72243957996,322.2203230908949,2021.9424369594199,1699.722113868525
