time,open,high,low,close,Volume,VWAP,VWAP,EMA,LUCID Connector,HyperWave,HWO Up,Oversold HWO Up,HWO Down,Overbought HWO Down,Reversal Up +,Reversal Up -,Reversal Down +,Reversal Down -,Money Flow,Bullish Overflow,Bearish Overflow,Upper Money Flow Threshold,Lower Money Flow Threshold,Upper Confluence Value,Lower Confluence Value,Upper Confluence Zone,Lower Confluence Zone,Confluence Meter Value,Custom Alert Condition Highlighter,Alert Scripting Condition Highlighter,@valuewhen,ATR,Histogram,MACD,Signal
2019-12-25,127.64,127.72,123.4,125.07,2193666.89617,125.39666666666665,125.39666666666665,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,NaN,NaN,0,0,105,-5,28.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-12-26,125.07,132,124.37,125.61,3770336.18284751,127.32666666666667,127.32666666666667,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,NaN,NaN,0,0,105,-5,28.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-12-27,125.66,126.96,122.65,126.26,5765801.82391,125.28999999999999,125.28999999999999,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,NaN,NaN,0,0,105,-5,28.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-12-28,126.24,129.68,125.86,128.09,6235318.10485751,127.87666666666665,127.87666666666665,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,NaN,NaN,0,0,105,-5,28.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-12-29,128.08,137.97,127.57,134.26,6826286.5895525,133.26666666666665,133.26666666666665,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,NaN,NaN,0,0,105,-5,28.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-12-30,134.23,136.21,130.35,131.53,10875259.64409751,132.6966666666667,132.6966666666667,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,NaN,NaN,0,0,105,-5,28.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-12-31,131.53,133.69,128.25,129.17,16582765.5918675,130.37,130.37,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,NaN,NaN,0,0,105,-5,28.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-01,129.14,133,128.73,130.55,17811067.6327175,130.76000000000002,130.76000000000002,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,NaN,NaN,0,0,105,-5,28.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-02,130.5,130.55,126.56,127.17,18853599.95651249,128.09333333333333,128.09333333333333,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,NaN,NaN,0,0,105,-5,28.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01-03,127.12,135.03,125.96,134.31,3744710.4431675,131.76666666666668,131.76666666666668,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,NaN,NaN,0,0,105,-5,28.571428571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
