,close,asset_return,position,strategy_return,equity_curve,drawdown,cumulative_pnl
2019-12-25,125.07,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-26,125.61,0.004317582153993804,0.0,0.0,1.0,0.0,0.0
2019-12-27,126.26,0.005174747233500643,0.0,0.0,1.0,0.0,0.0
2019-12-28,128.09,0.014493901473150661,0.0,0.0,1.0,0.0,0.0
2019-12-29,134.26,0.04816925599188071,0.0,0.0,1.0,0.0,0.0
2019-12-30,131.53,-0.020333680917622443,0.0,-0.0,1.0,0.0,0.0
2019-12-31,129.17,-0.01794267467497923,0.0,-0.0,1.0,0.0,0.0
2020-01-01,130.55,0.010683595262057866,0.0,0.0,1.0,0.0,0.0
2020-01-02,127.17,-0.025890463423975607,0.0,-0.0,1.0,0.0,0.0
2020-01-03,134.31,0.056145317291814045,0.0,0.0,1.0,0.0,0.0
2020-01-04,134.17,-0.0010423646787284246,0.0,-0.0,1.0,0.0,0.0
2020-01-05,135.31,0.00849668331221598,0.0,0.0,1.0,0.0,0.0
2020-01-06,144.18,0.06555317419259477,0.0,0.0,1.0,0.0,0.0
2020-01-07,142.87,-0.009085864891108297,0.0,-0.0,1.0,0.0,0.0
2020-01-08,140.69,-0.015258626723594904,0.0,-0.0,1.0,0.0,0.0
2020-01-09,137.68,-0.021394555405501392,0.0,-0.0,1.0,0.0,0.0
2020-01-10,144.91,0.05251307379430559,0.0,0.0,1.0,0.0,0.0
2020-01-11,142.59,-0.016009937202401403,0.0,-0.0,1.0,0.0,0.0
2020-01-12,146.55,0.027771933515674307,0.0,0.0,1.0,0.0,0.0
2020-01-13,143.55,-0.020470829068577223,0.0,-0.0,1.0,0.0,0.0
2020-01-14,165.79,0.15492859630790656,0.0,0.0,1.0,0.0,0.0
2020-01-15,166.39,0.0036190361300441065,0.0,0.0,1.0,0.0,0.0
2020-01-16,164.26,-0.01280125007512467,0.0,-0.0,1.0,0.0,0.0
2020-01-17,170.01,0.03500547911847063,0.0,0.0,1.0,0.0,0.0
2020-01-18,174.42,0.025939650608787668,0.0,0.0,1.0,0.0,0.0
2020-01-19,166.86,-0.04334365325077383,0.0,-0.0,1.0,0.0,0.0
2020-01-20,166.89,0.00017979144192725727,0.0,0.0,1.0,0.0,0.0
2020-01-21,169.42,0.015159686020732144,0.0,0.0,1.0,0.0,0.0
