trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,entry_macd,entry_macd_signal,entry_macd_hist,entry_position,exit_macd,exit_macd_signal,exit_macd_hist,exit_position
1,Long,2025-01-18 00:00:00+00:00,2025-01-19 00:00:00+00:00,104551.6,101334.0,-0.030775234429697873,-3217.6000000000004,1,long_exit_signal,37.26951566951175,7.45390313390235,29.815612535609397,1.0,-190.63008904147136,-32.16289530117239,-158.46719374029897,0.0
2,Long,2025-01-21 00:00:00+00:00,2025-01-26 00:00:00+00:00,106150.1,102604.5,-0.03340175845336002,-3545.6000000000117,5,long_exit_signal,-59.531704119828646,-79.33851732345887,19.806813203630227,1.0,-52.762928893993376,-34.11974883562839,-18.643180058364983,0.0
3,Long,2025-02-15 00:00:00+00:00,2025-02-24 00:00:00+00:00,97587.3,91534.5,-0.06202446424893404,-6052.800000000001,9,long_exit_signal,-1593.3671165358537,-1667.1558364862753,73.78871995042164,1.0,-1521.1670561243518,-1421.0064093778522,-100.16064674649965,0.0
4,Long,2025-03-05 00:00:00+00:00,2025-03-09 00:00:00+00:00,90608.7,80743.3,-0.1088791694395791,-9865.39999999999,4,long_exit_signal,-2845.77422893887,-2863.108841389561,17.33461245069111,1.0,-3156.7799122458237,-2847.1419323880014,-309.6379798578223,0.0
5,Long,2025-03-15 00:00:00+00:00,2025-04-06 00:00:00+00:00,84342.0,78426.0,-0.07014298925802087,-5915.999999999996,22,long_exit_signal,-3167.143614233384,-3281.294399579751,114.15078534636677,1.0,-1349.068333889023,-1131.1018793754206,-217.96645451360246,0.0
6,Long,2025-04-11 00:00:00+00:00,2025-05-17 00:00:00+00:00,83416.0,103133.6,0.2363767142994151,19717.60000000001,36,long_exit_signal,-1462.2237322683068,-1489.389318256952,27.16558598864526,1.0,3677.4641657571046,3758.7903383091043,-81.32617255199966,0.0
7,Long,2025-05-18 00:00:00+00:00,2025-05-19 00:00:00+00:00,106468.7,105568.1,-0.008458824048757863,-900.5999999999863,1,long_exit_signal,3768.825700189016,3760.7974106850866,8.0282895039295,1.0,3725.6129342859494,3753.7605154052594,-28.14758111930996,0.0
8,Long,2025-05-21 00:00:00+00:00,2025-05-24 00:00:00+00:00,109642.8,107767.2,-0.017106458426818794,-1875.6000000000076,3,long_exit_signal,3951.682417910575,3792.942952506496,158.73946540407906,1.0,3894.4185668830905,3909.562469425311,-15.14390254222053,0.0
9,Long,2025-06-10 00:00:00+00:00,2025-06-12 00:00:00+00:00,110274.1,105663.8,-0.04180764114148294,-4610.300000000005,2,long_exit_signal,1362.6887352779595,1335.8803584300167,26.80837684794278,1.0,1212.7603147672635,1324.8882184412023,-112.12790367393882,0.0
10,Long,2025-06-26 00:00:00+00:00,2025-07-21 00:00:00+00:00,106962.8,117378.1,0.09737310541608868,10415.30000000001,25,long_exit_signal,157.2600607133645,63.499123292599805,93.7609374207647,1.0,2911.330387989088,2944.7463254730455,-33.41593748395735,0.0
11,Long,2025-07-22 00:00:00+00:00,2025-07-23 00:00:00+00:00,119954.9,118757.9,-0.00997875034700546,-1197.0000000000052,1,long_exit_signal,2957.6396257993183,2947.3249855383,10.314640261018212,1.0,2864.729317806763,2930.8058519919928,-66.07653418522978,0.0
12,Long,2025-08-11 00:00:00+00:00,2025-08-17 00:00:00+00:00,118686.1,117409.6,-0.010755261146840334,-1276.5000000000066,6,long_exit_signal,720.3533592440363,617.3297789772375,103.02358026679872,1.0,818.7638721692783,910.3694388743868,-91.60556670510846,0.0
13,Long,2025-09-06 00:00:00+00:00,2025-09-23 00:00:00+00:00,110192.1,112004.6,0.016448547581904727,1812.5000000000039,17,long_exit_signal,-1465.655919484474,-1493.0962815368837,27.440362052409682,1.0,280.03980251825124,491.2401304503654,-211.2003279321142,0.0
14,Long,2025-10-01 00:00:00+00:00,2025-10-10 00:00:00+00:00,118607.7,112769.0,-0.049226989478760586,-5838.699999999992,9,long_exit_signal,137.00032949516026,-186.10733748298182,323.1076669781421,1.0,1741.7706938022457,1799.1426093270218,-57.371915524776114,0.0
15,Long,2025-10-26 00:00:00+00:00,2025-11-03 00:00:00+00:00,114554.6,106584.3,-0.06957642905653727,-7970.300000000005,8,long_exit_signal,-1206.0611012153822,-1515.3498479759974,309.28874676061514,1.0,-1250.5878451229073,-1122.8431057978096,-127.74473932509773,0.0
